AIRPORT,SEATS,OCCUPIED,TIME
LAX,250,211,WEEKEND
YVR,250,216,WEEKEND
LAX,450,386,WEEKEND
JFK,450,353,WEEKEND
LAX,450,376,WEEKEND
YVR,450,406,WEEKEND
LAX,200,166,WEEKDAY
JFK,200,172,WEEKDAY
LAX,200,179,WEEKDAY
YVR,200,167,WEEKDAY
LAX,250,218,REDEYE
JFK,250,208,REDEYE
LAX,250,220,REDEYE
YVR,250,205,REDEYE
LAX,450,351,WEEKDAY
JFK,450,363,WEEKDAY
LAX,450,346,WEEKDAY
YVR,450,371,WEEKDAY
LAX,200,164,REDEYE
JFK,200,168,REDEYE
LAX,200,183,REDEYE
YVR,200,170,REDEYE
LAX,250,206,WEEKDAY
JFK,250,197,WEEKDAY
LAX,250,227,WEEKDAY
YVR,250,207,WEEKDAY
LAX,450,385,REDEYE
JFK,450,374,REDEYE
LAX,450,375,REDEYE
YVR,450,358,REDEYE
LAX,200,179,WEEKDAY
JFK,200,168,WEEKDAY
LAX,200,171,WEEKDAY
YVR,200,160,WEEKDAY
LAX,250,225,REDEYE
JFK,250,226,REDEYE
LAX,250,219,REDEYE
YVR,250,207,REDEYE
LAX,450,361,WEEKDAY
JFK,450,381,WEEKDAY
LAX,450,386,WEEKDAY
YVR,450,348,WEEKDAY
LAX,200,176,REDEYE
JFK,200,182,REDEYE
LAX,200,173,REDEYE
YVR,200,163,REDEYE
LAX,250,224,WEEKDAY
JFK,250,211,WEEKDAY
LAX,250,224,WEEKDAY
YVR,250,214,WEEKDAY
LAX,450,363,REDEYE
JFK,450,391,REDEYE
LAX,450,373,REDEYE
YVR,450,356,REDEYE
LAX,200,175,WEEKEND
JFK,200,168,WEEKEND
LAX,200,172,WEEKEND
YVR,200,172,WEEKEND
LAX,250,210,WEEKEND
JFK,250,219,WEEKEND
LAX,250,228,WEEKEND
YVR,250,222,WEEKEND
LAX,450,350,WEEKEND
JFK,450,379,WEEKEND
LAX,450,364,WEEKEND
YVR,450,410,WEEKEND
LAX,200,169,WEEKEND
JFK,200,160,WEEKEND
LAX,200,176,WEEKEND
YVR,200,177,WEEKEND
LAX,250,227,WEEKEND
JFK,250,196,WEEKEND
LAX,250,206,WEEKEND
YVR,250,220,WEEKEND
LAX,450,371,WEEKEND
JFK,450,393,WEEKEND
LAX,450,367,WEEKEND
YVR,450,386,WEEKEND
LAX,200,182,WEEKDAY
JFK,200,167,WEEKDAY
LAX,200,164,WEEKDAY
YVR,200,162,WEEKDAY
LAX,250,216,REDEYE
JFK,250,216,REDEYE
LAX,250,222,REDEYE
YVR,250,208,REDEYE
LAX,450,358,WEEKDAY
JFK,450,378,WEEKDAY
LAX,450,346,WEEKDAY
YVR,450,362,WEEKDAY
LAX,200,179,REDEYE
JFK,200,177,REDEYE
LAX,200,164,REDEYE
YVR,200,169,REDEYE
LAX,250,225,WEEKDAY
JFK,250,208,WEEKDAY
LAX,250,207,WEEKDAY
YVR,250,192,WEEKDAY
LAX,450,347,REDEYE
JFK,450,376,REDEYE
LAX,450,352,REDEYE
YVR,450,380,REDEYE
LAX,200,177,WEEKDAY
JFK,200,163,WEEKDAY
LAX,200,174,WEEKDAY
YVR,200,168,WEEKDAY
LAX,250,207,REDEYE
JFK,250,217,REDEYE
LAX,250,213,REDEYE
YVR,250,200,REDEYE
LAX,450,351,WEEKDAY
JFK,450,359,WEEKDAY
LAX,450,358,WEEKDAY
YVR,450,347,WEEKDAY
LAX,200,181,REDEYE
JFK,200,183,REDEYE
LAX,200,183,REDEYE
YVR,200,160,REDEYE
LAX,250,206,WEEKDAY
JFK,250,205,WEEKDAY
LAX,250,227,WEEKDAY
YVR,250,207,WEEKDAY
LAX,450,357,REDEYE
JFK,450,403,REDEYE
LAX,450,375,REDEYE
YVR,450,381,REDEYE
LAX,200,183,WEEKEND
JFK,200,170,WEEKEND
LAX,200,180,WEEKEND
YVR,200,181,WEEKEND
LAX,250,215,WEEKEND
JFK,250,213,WEEKEND
LAX,250,225,WEEKEND
YVR,250,210,WEEKEND
LAX,450,351,WEEKEND
JFK,450,383,WEEKEND
LAX,450,357,WEEKEND
YVR,450,372,WEEKEND
LAX,200,167,WEEKEND
JFK,200,171,WEEKEND
LAX,200,180,WEEKEND
YVR,200,166,WEEKEND
LAX,250,211,WEEKEND
JFK,250,201,WEEKEND
LAX,250,210,WEEKEND
YVR,250,229,WEEKEND
LAX,450,379,WEEKEND
JFK,450,394,WEEKEND
LAX,450,371,WEEKEND
YVR,450,398,WEEKEND
LAX,200,166,WEEKDAY
JFK,200,159,WEEKDAY
LAX,200,171,WEEKDAY
YVR,200,156,WEEKDAY
LAX,250,227,REDEYE
JFK,250,230,REDEYE
LAX,250,208,REDEYE
YVR,250,209,REDEYE
LAX,450,363,WEEKDAY
JFK,450,389,WEEKDAY
LAX,450,381,WEEKDAY
YVR,450,389,WEEKDAY
LAX,200,183,REDEYE
JFK,200,183,REDEYE
LAX,200,182,REDEYE
YVR,200,166,REDEYE
LAX,250,227,WEEKDAY
JFK,250,196,WEEKDAY
LAX,250,212,WEEKDAY
YVR,250,198,WEEKDAY
LAX,450,359,REDEYE
JFK,450,377,REDEYE
LAX,450,386,REDEYE
YVR,450,389,REDEYE
LAX,200,169,WEEKDAY
JFK,200,172,WEEKDAY
LAX,200,170,WEEKDAY
YVR,200,168,WEEKDAY
LAX,250,216,REDEYE
JFK,250,219,REDEYE
LAX,250,221,REDEYE
YVR,250,197,REDEYE
LAX,450,351,WEEKDAY
JFK,450,367,WEEKDAY
LAX,450,391,WEEKDAY
YVR,450,380,WEEKDAY
LAX,200,177,REDEYE
JFK,200,185,REDEYE
LAX,200,179,REDEYE
YVR,200,164,REDEYE
LAX,250,205,WEEKDAY
JFK,250,196,WEEKDAY
LAX,250,206,WEEKDAY
YVR,250,206,WEEKDAY
LAX,450,346,REDEYE
JFK,450,397,REDEYE
LAX,450,366,REDEYE
YVR,450,362,REDEYE
LAX,200,183,WEEKEND
JFK,200,164,WEEKEND
LAX,200,171,WEEKEND
YVR,200,169,WEEKEND
LAX,250,212,WEEKEND
JFK,250,198,WEEKEND
LAX,250,212,WEEKEND
YVR,250,215,WEEKEND
LAX,450,373,WEEKEND
JFK,450,368,WEEKEND
LAX,450,383,WEEKEND
YVR,450,392,WEEKEND
LAX,200,172,WEEKEND
JFK,200,170,WEEKEND
LAX,200,172,WEEKEND
YVR,200,173,WEEKEND
LAX,250,212,WEEKEND
JFK,250,217,WEEKEND
LAX,250,222,WEEKEND
YVR,250,226,WEEKEND
LAX,450,349,WEEKEND
JFK,450,352,WEEKEND
LAX,450,375,WEEKEND
YVR,450,372,WEEKEND
LAX,200,182,WEEKDAY
JFK,200,166,WEEKDAY
LAX,200,174,WEEKDAY
YVR,200,157,WEEKDAY
LAX,250,229,REDEYE
JFK,250,209,REDEYE
LAX,250,206,REDEYE
YVR,250,215,REDEYE
LAX,450,390,WEEKDAY
JFK,450,387,WEEKDAY
LAX,450,376,WEEKDAY
YVR,450,373,WEEKDAY
LAX,200,166,REDEYE
JFK,200,167,REDEYE
LAX,200,181,REDEYE
YVR,200,166,REDEYE
LAX,250,210,WEEKDAY
JFK,250,195,WEEKDAY
LAX,250,209,WEEKDAY
YVR,250,208,WEEKDAY
LAX,450,374,REDEYE
JFK,450,390,REDEYE
LAX,450,375,REDEYE
YVR,450,357,REDEYE
LAX,200,183,WEEKDAY
JFK,200,170,WEEKDAY
LAX,200,173,WEEKDAY
YVR,200,161,WEEKDAY
LAX,250,218,REDEYE
JFK,250,215,REDEYE
LAX,250,213,REDEYE
YVR,250,197,REDEYE
LAX,450,377,WEEKDAY
JFK,450,356,WEEKDAY
LAX,450,378,WEEKDAY
YVR,450,353,WEEKDAY
LAX,200,177,REDEYE
JFK,200,181,REDEYE
LAX,200,183,REDEYE
YVR,200,173,REDEYE
LAX,250,211,WEEKDAY
JFK,250,215,WEEKDAY
LAX,250,205,WEEKDAY
YVR,250,211,WEEKDAY
LAX,450,370,REDEYE
JFK,450,412,REDEYE
LAX,450,386,REDEYE
YVR,450,386,REDEYE
LAX,200,170,WEEKEND
JFK,200,162,WEEKEND
LAX,200,171,WEEKEND
YVR,200,164,WEEKEND
LAX,250,211,WEEKEND
JFK,250,205,WEEKEND
LAX,250,225,WEEKEND
YVR,250,222,WEEKEND
LAX,450,350,WEEKEND
JFK,450,362,WEEKEND
LAX,450,354,WEEKEND
YVR,450,382,WEEKEND
LAX,200,169,WEEKEND
JFK,200,167,WEEKEND
LAX,200,178,WEEKEND
YVR,200,173,WEEKEND
LAX,250,229,WEEKEND
JFK,250,203,WEEKEND
LAX,250,207,WEEKEND
YVR,250,221,WEEKEND
LAX,450,366,WEEKEND
JFK,450,366,WEEKEND
LAX,450,361,WEEKEND
YVR,450,370,WEEKEND
LAX,200,177,WEEKDAY
JFK,200,171,WEEKDAY
LAX,200,183,WEEKDAY
YVR,200,161,WEEKDAY
LAX,250,221,REDEYE
JFK,250,231,REDEYE
LAX,250,221,REDEYE
YVR,250,206,REDEYE
LAX,450,388,WEEKDAY
JFK,450,377,WEEKDAY
LAX,450,381,WEEKDAY
YVR,450,385,WEEKDAY
LAX,200,171,REDEYE
JFK,200,168,REDEYE
LAX,200,173,REDEYE
YVR,200,164,REDEYE
LAX,250,212,WEEKDAY
JFK,250,211,WEEKDAY
LAX,250,216,WEEKDAY
YVR,250,200,WEEKDAY
LAX,450,361,REDEYE
JFK,450,393,REDEYE
LAX,450,368,REDEYE
YVR,450,373,REDEYE
LAX,200,170,WEEKDAY
JFK,200,175,WEEKDAY
LAX,200,179,WEEKDAY
YVR,200,165,WEEKDAY
LAX,250,226,REDEYE
JFK,250,225,REDEYE
LAX,250,223,REDEYE
YVR,250,199,REDEYE
LAX,450,386,WEEKDAY
JFK,450,388,WEEKDAY
LAX,450,355,WEEKDAY
YVR,450,371,WEEKDAY
LAX,200,170,REDEYE
JFK,200,180,REDEYE
LAX,200,172,REDEYE
YVR,200,159,REDEYE
LAX,250,213,WEEKDAY
JFK,250,208,WEEKDAY
LAX,250,218,WEEKDAY
YVR,250,192,WEEKDAY
LAX,450,370,REDEYE
JFK,450,413,REDEYE
LAX,450,372,REDEYE
YVR,450,360,REDEYE
LAX,200,175,WEEKEND
JFK,200,172,WEEKEND
LAX,200,182,WEEKEND
YVR,200,165,WEEKEND
LAX,250,219,WEEKEND
JFK,250,202,WEEKEND
LAX,250,225,WEEKEND
YVR,250,217,WEEKEND
LAX,450,357,WEEKEND
JFK,450,358,WEEKEND
LAX,450,353,WEEKEND
YVR,450,391,WEEKEND
LAX,200,164,WEEKEND
JFK,200,163,WEEKEND
LAX,200,171,WEEKEND
YVR,200,181,WEEKEND
LAX,250,211,WEEKEND
JFK,250,208,WEEKEND
LAX,250,207,WEEKEND
YVR,250,223,WEEKEND
LAX,450,349,WEEKEND
JFK,450,355,WEEKEND
LAX,450,347,WEEKEND
YVR,450,402,WEEKEND
LAX,200,175,WEEKDAY
JFK,200,162,WEEKDAY
LAX,200,165,WEEKDAY
YVR,200,173,WEEKDAY
LAX,250,206,REDEYE
JFK,250,221,REDEYE
LAX,250,209,REDEYE
YVR,250,199,REDEYE
LAX,450,349,WEEKDAY
JFK,450,352,WEEKDAY
LAX,450,380,WEEKDAY
YVR,450,363,WEEKDAY
LAX,200,176,REDEYE
JFK,200,182,REDEYE
LAX,200,177,REDEYE
YVR,200,158,REDEYE
LAX,250,212,WEEKDAY
JFK,250,211,WEEKDAY
LAX,250,224,WEEKDAY
YVR,250,195,WEEKDAY
LAX,450,382,REDEYE
JFK,450,387,REDEYE
LAX,450,359,REDEYE
YVR,450,369,REDEYE
LAX,200,173,WEEKDAY
JFK,200,161,WEEKDAY
LAX,200,167,WEEKDAY
YVR,200,164,WEEKDAY
LAX,250,226,REDEYE
JFK,250,216,REDEYE
LAX,250,229,REDEYE
YVR,250,195,REDEYE
LAX,450,353,WEEKDAY
JFK,450,365,WEEKDAY
LAX,450,383,WEEKDAY
YVR,450,388,WEEKDAY
LAX,200,174,REDEYE
JFK,200,180,REDEYE
LAX,200,182,REDEYE
YVR,200,173,REDEYE
LAX,250,224,WEEKDAY
JFK,250,207,WEEKDAY
LAX,250,205,WEEKDAY
YVR,250,194,WEEKDAY
LAX,450,349,REDEYE
JFK,450,397,REDEYE
LAX,450,364,REDEYE
YVR,450,346,REDEYE
LAX,200,182,WEEKEND
JFK,200,158,WEEKEND
LAX,200,176,WEEKEND
YVR,200,165,WEEKEND
LAX,250,209,WEEKEND
JFK,250,217,WEEKEND
LAX,250,223,WEEKEND
YVR,250,223,WEEKEND
LAX,450,381,WEEKEND
JFK,450,365,WEEKEND
LAX,450,387,WEEKEND
YVR,450,407,WEEKEND
LAX,200,183,WEEKEND
JFK,200,162,WEEKEND
LAX,200,174,WEEKEND
YVR,200,165,WEEKEND
LAX,250,225,WEEKEND
JFK,250,196,WEEKEND
LAX,250,214,WEEKEND
YVR,250,205,WEEKEND
LAX,450,360,WEEKEND
JFK,450,395,WEEKEND
LAX,450,346,WEEKEND
YVR,450,393,WEEKEND
LAX,200,166,WEEKDAY
JFK,200,165,WEEKDAY
LAX,200,180,WEEKDAY
YVR,200,160,WEEKDAY
LAX,250,217,REDEYE
JFK,250,230,REDEYE
LAX,250,229,REDEYE
YVR,250,192,REDEYE
LAX,450,387,WEEKDAY
JFK,450,392,WEEKDAY
LAX,450,387,WEEKDAY
YVR,450,346,WEEKDAY
LAX,200,169,REDEYE
JFK,200,185,REDEYE
LAX,200,177,REDEYE
YVR,200,158,REDEYE
LAX,250,227,WEEKDAY
JFK,250,215,WEEKDAY
LAX,250,213,WEEKDAY
YVR,250,197,WEEKDAY
LAX,450,352,REDEYE
JFK,450,415,REDEYE
LAX,450,357,REDEYE
YVR,450,359,REDEYE
LAX,200,182,WEEKDAY
JFK,200,174,WEEKDAY
LAX,200,179,WEEKDAY
YVR,200,165,WEEKDAY
LAX,250,205,REDEYE
JFK,250,227,REDEYE
LAX,250,228,REDEYE
YVR,250,198,REDEYE
LAX,450,360,WEEKDAY
JFK,450,357,WEEKDAY
LAX,450,389,WEEKDAY
YVR,450,357,WEEKDAY
LAX,200,182,REDEYE
JFK,200,176,REDEYE
LAX,200,167,REDEYE
YVR,200,158,REDEYE
LAX,250,225,WEEKDAY
JFK,250,209,WEEKDAY
LAX,250,219,WEEKDAY
YVR,250,214,WEEKDAY
LAX,450,387,REDEYE
JFK,450,418,REDEYE
LAX,450,369,REDEYE
YVR,450,357,REDEYE
LAX,200,180,WEEKEND
JFK,200,171,WEEKEND
LAX,200,172,WEEKEND
YVR,200,175,WEEKEND
LAX,250,223,WEEKEND
JFK,250,212,WEEKEND
LAX,250,224,WEEKEND
YVR,250,216,WEEKEND
LAX,450,377,WEEKEND
JFK,450,384,WEEKEND
LAX,450,388,WEEKEND
YVR,450,383,WEEKEND
LAX,200,167,WEEKEND
JFK,200,163,WEEKEND
LAX,200,178,WEEKEND
YVR,200,172,WEEKEND
LAX,250,215,WEEKEND
JFK,250,218,WEEKEND
LAX,250,222,WEEKEND
YVR,250,205,WEEKEND
LAX,450,353,WEEKEND
JFK,450,379,WEEKEND
LAX,450,377,WEEKEND
YVR,450,377,WEEKEND
LAX,200,178,WEEKDAY
JFK,200,164,WEEKDAY
LAX,200,177,WEEKDAY
YVR,200,166,WEEKDAY
LAX,250,221,REDEYE
JFK,250,219,REDEYE
LAX,250,218,REDEYE
YVR,250,211,REDEYE
LAX,450,357,WEEKDAY
JFK,450,395,WEEKDAY
LAX,450,357,WEEKDAY
YVR,450,356,WEEKDAY
LAX,200,165,REDEYE
JFK,200,176,REDEYE
LAX,200,179,REDEYE
YVR,200,157,REDEYE
LAX,250,229,WEEKDAY
JFK,250,199,WEEKDAY
LAX,250,207,WEEKDAY
YVR,250,215,WEEKDAY
LAX,450,382,REDEYE
JFK,450,380,REDEYE
LAX,450,375,REDEYE
YVR,450,350,REDEYE
LAX,200,174,WEEKDAY
JFK,200,169,WEEKDAY
LAX,200,171,WEEKDAY
YVR,200,169,WEEKDAY
LAX,250,218,REDEYE
JFK,250,221,REDEYE
LAX,250,218,REDEYE
YVR,250,214,REDEYE
LAX,450,384,WEEKDAY
JFK,450,391,WEEKDAY
LAX,450,375,WEEKDAY
YVR,450,353,WEEKDAY
LAX,200,173,REDEYE
JFK,200,169,REDEYE
LAX,200,173,REDEYE
YVR,200,170,REDEYE
LAX,250,214,WEEKDAY
JFK,250,205,WEEKDAY
LAX,250,229,WEEKDAY
YVR,250,196,WEEKDAY
LAX,450,361,REDEYE
JFK,450,406,REDEYE
LAX,450,357,REDEYE
YVR,450,348,REDEYE
LAX,200,169,WEEKEND
JFK,200,157,WEEKEND
LAX,200,164,WEEKEND
YVR,200,169,WEEKEND
LAX,250,205,WEEKEND
JFK,250,197,WEEKEND
LAX,250,228,WEEKEND
YVR,250,213,WEEKEND
LAX,450,375,WEEKEND
JFK,450,375,WEEKEND
LAX,450,360,WEEKEND
YVR,450,395,WEEKEND
LAX,200,172,WEEKEND
JFK,200,161,WEEKEND
LAX,200,169,WEEKEND
YVR,200,172,WEEKEND
LAX,250,219,WEEKEND
JFK,250,197,WEEKEND
LAX,250,215,WEEKEND
YVR,250,224,WEEKEND
LAX,450,349,WEEKEND
JFK,450,362,WEEKEND
LAX,450,373,WEEKEND
YVR,450,398,WEEKEND
LAX,200,171,WEEKDAY
JFK,200,168,WEEKDAY
LAX,200,183,WEEKDAY
YVR,200,156,WEEKDAY
LAX,250,208,REDEYE
JFK,250,220,REDEYE
LAX,250,222,REDEYE
YVR,250,197,REDEYE
LAX,450,352,WEEKDAY
JFK,450,354,WEEKDAY
LAX,450,360,WEEKDAY
YVR,450,380,WEEKDAY
LAX,200,169,REDEYE
JFK,200,167,REDEYE
LAX,200,174,REDEYE
YVR,200,156,REDEYE
LAX,250,225,WEEKDAY
JFK,250,216,WEEKDAY
LAX,250,216,WEEKDAY
YVR,250,216,WEEKDAY
LAX,450,364,REDEYE
JFK,450,402,REDEYE
LAX,450,369,REDEYE
YVR,450,383,REDEYE
LAX,200,172,WEEKDAY
JFK,200,159,WEEKDAY
LAX,200,172,WEEKDAY
YVR,200,158,WEEKDAY
LAX,250,220,REDEYE
JFK,250,229,REDEYE
LAX,250,209,REDEYE
YVR,250,199,REDEYE
LAX,450,357,WEEKDAY
JFK,450,351,WEEKDAY
LAX,450,364,WEEKDAY
YVR,450,357,WEEKDAY
LAX,200,164,REDEYE
JFK,200,173,REDEYE
LAX,200,171,REDEYE
YVR,200,162,REDEYE
LAX,250,218,WEEKDAY
JFK,250,216,WEEKDAY
LAX,250,210,WEEKDAY
YVR,250,198,WEEKDAY
LAX,450,369,REDEYE
JFK,450,405,REDEYE
LAX,450,383,REDEYE
YVR,450,347,REDEYE
LAX,200,176,WEEKEND
JFK,200,161,WEEKEND
LAX,200,171,WEEKEND
YVR,200,169,WEEKEND
LAX,250,215,WEEKEND
JFK,250,217,WEEKEND
LAX,250,208,WEEKEND
YVR,250,209,WEEKEND
LAX,450,377,WEEKEND
JFK,450,377,WEEKEND
LAX,450,372,WEEKEND
YVR,450,384,WEEKEND
LAX,200,178,WEEKEND
JFK,200,173,WEEKEND
LAX,200,180,WEEKEND
YVR,200,173,WEEKEND
LAX,250,210,WEEKEND
JFK,250,217,WEEKEND
LAX,250,224,WEEKEND
YVR,250,226,WEEKEND
LAX,450,368,WEEKEND
JFK,450,370,WEEKEND
LAX,450,374,WEEKEND
YVR,450,398,WEEKEND
LAX,200,173,WEEKDAY
JFK,200,169,WEEKDAY
LAX,200,178,WEEKDAY
YVR,200,166,WEEKDAY
LAX,250,210,REDEYE
JFK,250,221,REDEYE
LAX,250,213,REDEYE
YVR,250,214,REDEYE
LAX,450,365,WEEKDAY
JFK,450,393,WEEKDAY
LAX,450,352,WEEKDAY
YVR,450,363,WEEKDAY
LAX,200,175,REDEYE
JFK,200,181,REDEYE
LAX,200,169,REDEYE
YVR,200,162,REDEYE
LAX,250,227,WEEKDAY
JFK,250,213,WEEKDAY
LAX,250,213,WEEKDAY
YVR,250,198,WEEKDAY
LAX,450,387,REDEYE
JFK,450,410,REDEYE
LAX,450,359,REDEYE
YVR,450,383,REDEYE
LAX,200,169,WEEKDAY
JFK,200,175,WEEKDAY
LAX,200,173,WEEKDAY
YVR,200,171,WEEKDAY
LAX,250,221,REDEYE
JFK,250,213,REDEYE
LAX,250,208,REDEYE
YVR,250,215,REDEYE
LAX,450,348,WEEKDAY
JFK,450,360,WEEKDAY
LAX,450,352,WEEKDAY
YVR,450,373,WEEKDAY
LAX,200,165,REDEYE
JFK,200,180,REDEYE
LAX,200,169,REDEYE
YVR,200,156,REDEYE
LAX,250,217,WEEKDAY
JFK,250,214,WEEKDAY
LAX,250,209,WEEKDAY
YVR,250,194,WEEKDAY
LAX,450,385,REDEYE
JFK,450,396,REDEYE
LAX,450,382,REDEYE
YVR,450,382,REDEYE
LAX,200,167,WEEKEND
JFK,200,165,WEEKEND
LAX,200,174,WEEKEND
YVR,200,181,WEEKEND
LAX,250,224,WEEKEND
JFK,250,205,WEEKEND
LAX,250,209,WEEKEND
YVR,250,218,WEEKEND
LAX,450,386,WEEKEND
JFK,450,390,WEEKEND
LAX,450,365,WEEKEND
YVR,450,410,WEEKEND
LAX,200,170,WEEKEND
JFK,200,171,WEEKEND
LAX,200,181,WEEKEND
YVR,200,182,WEEKEND
LAX,250,222,WEEKEND
JFK,250,209,WEEKEND
LAX,250,219,WEEKEND
YVR,250,223,WEEKEND
LAX,450,384,WEEKEND
JFK,450,352,WEEKEND
LAX,450,371,WEEKEND
YVR,450,385,WEEKEND
LAX,200,171,WEEKDAY
JFK,200,173,WEEKDAY
LAX,200,171,WEEKDAY
YVR,200,163,WEEKDAY
LAX,250,222,REDEYE
JFK,250,218,REDEYE
LAX,250,209,REDEYE
YVR,250,201,REDEYE
LAX,450,379,WEEKDAY
JFK,450,359,WEEKDAY
LAX,450,374,WEEKDAY
YVR,450,364,WEEKDAY
LAX,200,175,REDEYE
JFK,200,171,REDEYE
LAX,200,165,REDEYE
YVR,200,163,REDEYE
LAX,250,226,WEEKDAY
JFK,250,212,WEEKDAY
LAX,250,224,WEEKDAY
YVR,250,192,WEEKDAY
LAX,450,386,REDEYE
JFK,450,373,REDEYE
LAX,450,349,REDEYE
YVR,450,352,REDEYE
LAX,200,183,WEEKDAY
JFK,200,158,WEEKDAY
LAX,200,178,WEEKDAY
YVR,200,157,WEEKDAY
LAX,250,219,REDEYE
JFK,250,215,REDEYE
LAX,250,214,REDEYE
YVR,250,206,REDEYE
LAX,450,354,WEEKDAY
JFK,450,390,WEEKDAY
LAX,450,377,WEEKDAY
YVR,450,385,WEEKDAY
LAX,200,169,REDEYE
JFK,200,180,REDEYE
LAX,200,175,REDEYE
YVR,200,168,REDEYE
LAX,250,210,WEEKDAY
JFK,250,219,WEEKDAY
LAX,250,208,WEEKDAY
YVR,250,196,WEEKDAY
LAX,450,372,REDEYE
JFK,450,397,REDEYE
LAX,450,370,REDEYE
YVR,450,367,REDEYE
LAX,200,179,WEEKEND
JFK,200,167,WEEKEND
LAX,200,165,WEEKEND
YVR,200,176,WEEKEND
LAX,250,206,WEEKEND
JFK,250,208,WEEKEND
LAX,250,211,WEEKEND
YVR,250,208,WEEKEND
LAX,450,377,WEEKEND
JFK,450,374,WEEKEND
LAX,450,363,WEEKEND
YVR,450,372,WEEKEND
LAX,200,178,WEEKEND
JFK,200,166,WEEKEND
LAX,200,169,WEEKEND
YVR,200,176,WEEKEND
LAX,250,213,WEEKEND
JFK,250,215,WEEKEND
LAX,250,221,WEEKEND
YVR,250,210,WEEKEND
LAX,450,369,WEEKEND
JFK,450,393,WEEKEND
LAX,450,390,WEEKEND
YVR,450,398,WEEKEND
LAX,200,167,WEEKDAY
JFK,200,164,WEEKDAY
LAX,200,171,WEEKDAY
YVR,200,157,WEEKDAY
LAX,250,223,REDEYE
JFK,250,223,REDEYE
LAX,250,225,REDEYE
YVR,250,213,REDEYE
LAX,450,348,WEEKDAY
JFK,450,364,WEEKDAY
LAX,450,356,WEEKDAY
YVR,450,360,WEEKDAY
LAX,200,183,REDEYE
JFK,200,172,REDEYE
LAX,200,178,REDEYE
YVR,200,162,REDEYE
LAX,250,225,WEEKDAY
JFK,250,207,WEEKDAY
LAX,250,213,WEEKDAY
YVR,250,206,WEEKDAY
LAX,450,374,REDEYE
JFK,450,399,REDEYE
LAX,450,370,REDEYE
YVR,450,386,REDEYE
LAX,200,169,WEEKDAY
JFK,200,166,WEEKDAY
LAX,200,165,WEEKDAY
YVR,200,172,WEEKDAY
LAX,250,227,REDEYE
JFK,250,231,REDEYE
LAX,250,225,REDEYE
YVR,250,213,REDEYE
LAX,450,389,WEEKDAY
JFK,450,358,WEEKDAY
LAX,450,355,WEEKDAY
YVR,450,377,WEEKDAY
LAX,200,166,REDEYE
JFK,200,178,REDEYE
LAX,200,173,REDEYE
YVR,200,155,REDEYE
LAX,250,224,WEEKDAY
JFK,250,219,WEEKDAY
LAX,250,212,WEEKDAY
YVR,250,197,WEEKDAY
LAX,450,384,REDEYE
JFK,450,406,REDEYE
LAX,450,382,REDEYE
YVR,450,370,REDEYE
LAX,200,177,WEEKEND
JFK,200,167,WEEKEND
LAX,200,175,WEEKEND
YVR,200,183,WEEKEND
LAX,250,222,WEEKEND
JFK,250,204,WEEKEND
LAX,250,220,WEEKEND
YVR,250,223,WEEKEND
LAX,450,366,WEEKEND
JFK,450,369,WEEKEND
LAX,450,380,WEEKEND
YVR,450,377,WEEKEND
LAX,200,182,WEEKEND
JFK,200,174,WEEKEND
LAX,200,169,WEEKEND
YVR,200,171,WEEKEND
LAX,250,229,WEEKEND
JFK,250,217,WEEKEND
LAX,250,206,WEEKEND
YVR,250,229,WEEKEND
